Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stations
10103,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,20
10104,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,20
1011,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(C,18
10111,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,20
10112,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,20
10215,MAO,MADGOAN JN.,ERS,ERNAKULAM. J,13
10216,ERS,ERNAKULAM. J,MAO,MADGOAN JN.,13
1037,LTT,LOKMANYA TIL,SWV,SAWANTWADI R,10
1038,SWV,SAWANTWADI R,LTT,LOKMANYA TIL,10
1045,LTT,LOKMANYA TIL,KRMI,KARMALI,11
107,SWV,SAWANTWADI R,MAO,MADGOAN JN.,4
108,MAO,MADGOAN JN.,SWV,SAWANTWADI R,4
11001,SNSI,SAI NAGAR SH,PVR,PANDHARPUR,12
11002,PVR,PANDHARPUR,SNSI,SAI NAGAR SH,12
11003,DR,DADAR,SWV,SAWANTWADI R,21
11004,SWV,SAWANTWADI R,DR,DADAR,21
11005,DR,DADAR,PDY,PONDICHERRY,39
11006,PDY,PONDICHERRY,DR,DADAR,38
11007,CSMT,CST-MUMBAI,PUNE,PUNE JN.,12
11008,PUNE,PUNE JN.,CSMT,CST-MUMBAI,11
11009,CSMT,CST-MUMBAI,PUNE,PUNE JN.,12
11010,PUNE,PUNE JN.,CSMT,CST-MUMBAI,11
11011,LTT,LOKMANYA TIL,NED,NANDED,16
11012,NED,NANDED,LTT,LOKMANYA TIL,16
11013,LTT,LOKMANYA TIL,CBE,COIMBATORE,34
11014,CBE,COIMBATORE,LTT,LOKMANYA TIL,34
11015,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,47
11016,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,46
11017,LTT,LOKMANYA TIL,KIK,KARAIKAL,30
11018,KIK,KARAIKAL,LTT,LOKMANYA TIL,30
11019,CSMT,CST-MUMBAI,BBS,BHUBANESWAR,39
11020,BBS,BHUBANESWAR,CSMT,CST-MUMBAI,40
11021,DR,DADAR,TEN,TIRUNELVELI,40
11022,TEN,TIRUNELVELI,DR,DADAR,39
11023,CSMT,CST-MUMBAI,KOP,CHHATRAPATI,28
11024,KOP,CHHATRAPATI,CSMT,CST-MUMBAI,31
11025,BSL,BHUSAVAL JN.,PUNE,PUNE JN.,19
11026,PUNE,PUNE JN.,BSL,BHUSAVAL JN.,19
11027,CSMT,CST-MUMBAI,MAS,CHENNAI CENT,52
11028,MAS,CHENNAI CENT,CSMT,CST-MUMBAI,52
11029,CSMT,CST-MUMBAI,KOP,CHHATRAPATI,35
11030,KOP,CHHATRAPATI,CSMT,CST-MUMBAI,34
11031,SUR,SOLAPUR,BJP,BIJAPUR JN,5
11032,BJP,BIJAPUR JN,SUR,SOLAPUR,5
11033,PUNE,PUNE JN.,DBG,DARBHANGA JN,30
11034,DBG,DARBHANGA JN,PUNE,PUNE JN.,30
11035,DR,DADAR,MYS,MYSORE JN.,27
11036,MYS,MYSORE JN.,DR,DADAR,26
11037,PUNE,PUNE JN.,GKP,GORAKHPUR JN,17
11038,GKP,GORAKHPUR JN,PUNE,PUNE JN.,17
11039,KOP,CHHATRAPATI,G,GONDIA JN.,62
11040,G,GONDIA JN.,KOP,CHHATRAPATI,60
11041,CSMT,CST-MUMBAI,MAS,CHENNAI CENT,36
11042,MAS,CHENNAI CENT,CSMT,CST-MUMBAI,34
11043,LTT,LOKMANYA TIL,MDU,MADURAI JN,27
11044,MDU,MADURAI JN,LTT,LOKMANYA TIL,26
11045,KOP,CHHATRAPATI,DHN,DHANBAD JN.,39
11046,DHN,DHANBAD JN.,KOP,CHHATRAPATI,39
11047,MRJ,MIRAJ JN.,UBL,HUBLI JN.,12
11048,UBL,HUBLI JN.,MRJ,MIRAJ JN.,12
11049,ADI,AHMEDABAD,KOP,CHHATRAPATI,18
11050,KOP,CHHATRAPATI,ADI,AHMEDABAD,18
11051,SUR,SOLAPUR,KOP,CHHATRAPATI,9
11052,KOP,CHHATRAPATI,SUR,SOLAPUR,9
11053,LTT,LOKMANYA TIL,AMH,AZAMGARH,17
11054,AMH,AZAMGARH,LTT,LOKMANYA TIL,17
11055,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,23
11056,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,23
11057,CSMT,CST-MUMBAI,ASR,AMRITSAR JN.,90
11058,ASR,AMRITSAR JN.,CSMT,CST-MUMBAI,91
11059,LTT,LOKMANYA TIL,CPR,CHHAPRA JN.,24
11060,CPR,CHHAPRA JN.,LTT,LOKMANYA TIL,24
11061,LTT,LOKMANYA TIL,DBG,DARBHANGA JN,41
11062,DBG,DARBHANGA JN,LTT,LOKMANYA TIL,39
11063,MS,CHENNAI EGMO,SA,SALEM JN.,14
11064,SA,SALEM JN.,MS,CHENNAI EGMO,14
11067,LTT,LOKMANYA TIL,FD,FAIZABAD JN.,20
11068,FD,FAIZABAD JN.,LTT,LOKMANYA TIL,20
11071,LTT,LOKMANYA TIL,BSB,VARANASI JN.,43
11072,BSB,VARANASI JN.,LTT,LOKMANYA TIL,41
11073,LTT,LOKMANYA TIL,MAS,CHENNAI CENT,18
11074,MAS,CHENNAI CENT,LTT,LOKMANYA TIL,17
11075,LTT,LOKMANYA TIL,BIDR,BIDAR,13
11076,BIDR,BIDAR,LTT,LOKMANYA TIL,13
11077,PUNE,PUNE JN.,JAT,JAMMU TAWI,67
11078,JAT,JAMMU TAWI,PUNE,PUNE JN.,65
11079,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,25
11080,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,24
11081,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,20
11082,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,19
11083,LTT,LOKMANYA TIL,KZJ,KAZIPET JN.,29
11084,KZJ,KAZIPET JN.,LTT,LOKMANYA TIL,28
11085,LTT,LOKMANYA TIL,MAO,MADGOAN JN.,11
11086,MAO,MADGOAN JN.,LTT,LOKMANYA TIL,11
11087,VRL,VERAVAL,PUNE,PUNE JN.,26
11088,PUNE,PUNE JN.,VRL,VERAVAL,25
11089,BGKT,BHAGAT-KI-KO,PUNE,PUNE JN.,26
11090,PUNE,PUNE JN.,BGKT,BHAGAT-KI-KO,26
11091,BHUJ,NEW BHUJ,PUNE,PUNE JN.,24
11092,PUNE,PUNE JN.,BHUJ,NEW BHUJ,24
11093,CSMT,CST-MUMBAI,BSB,VARANASI JN.,27
11094,BSB,VARANASI JN.,CSMT,CST-MUMBAI,26
11095,ADI,AHMEDABAD,PUNE,PUNE JN.,17
11096,PUNE,PUNE JN.,ADI,AHMEDABAD,16
11097,PUNE,PUNE JN.,ERS,ERNAKULAM. J,33
11098,ERS,ERNAKULAM. J,PUNE,PUNE JN.,32
11101,PUNE,PUNE JN.,GWL,GWALIOR JN,23
11102,GWL,GWALIOR JN,PUNE,PUNE JN.,23
11103,JHS,JHANSI JN,BDTS,BANDRA TERMI,21
11104,BDTS,BANDRA TERMI,JHS,JHANSI JN,21
11107,GWL,GWALIOR JN,BSB,VARANASI JN.,31
11108,BSB,VARANASI JN.,GWL,GWALIOR JN,37
11109,JHS,JHANSI JN,LJN,LUCKNOW JN.,11
11110,LJN,LUCKNOW JN.,JHS,JHANSI JN,11
11111,GWL,GWALIOR JN,BLP,"BALRAMPUR,",12
11112,BLP,"BALRAMPUR,",GWL,GWALIOR JN,12
11123,BJU,BARAUNI JN.,GWL,GWALIOR JN,49
11124,GWL,GWALIOR JN,BJU,BARAUNI JN.,49
