Train_No,Stop_Count
53041,118
13007,112
13049,111
58112,109
13008,108
53042,107
13050,106
58111,102
19019,98
13152,97
13352,97
19024,97
13151,96
13351,96
19023,94
19020,92
57257,92
11058,91
13120,91
58001,91
11057,90
57258,90
58002,90
13119,89
15909,89
18238,89
57561,88
57562,87
54805,86
18237,85
6581,85
6582,85
13134,84
18029,83
51421,83
53043,83
63553,83
63554,83
13133,82
16032,82
18030,82
19039,82
19040,82
16031,81
54806,81
56504,79
57326,79
13010,78
56503,78
57305,78
58131,78
58132,78
13009,77
57325,77
18477,76
51422,76
16318,75
18478,75
54252,75
13307,74
18234,74
54251,74
59441,74
59442,74
15017,73
15018,73
17480,73
53044,73
17479,72
18102,72
18233,72
19166,72
59439,72
13308,71
16317,71
18101,71
51187,71
51188,71
57272,71
59811,71
59812,71
19165,70
53131,70
53132,70
19037,68
19038,68
56502,68
57271,68
11077,67
13201,67
16688,67
18235,67
18236,67
13019,66
17482,66
53403,66
56501,66
59440,66
11078,65
13483,65
17481,65
58117,65
59355,65
59356,65
12834,64
13020,64
51189,64
51190,64
54809,64
54810,64
58118,64
58529,64
58530,64
59831,64
12521,63
12833,63
13202,63
13413,63
13484,63
14649,63
16381,63
16687,63
19015,63
19215,63
53525,63
56515,63
56516,63
57129,63
59832,63
11039,62
12522,62
14055,62
16382,62
17406,62
19016,62
53526,62
54377,62
54378,62
57474,62
59049,62
59050,62
12511,61
13414,61
14056,61
17405,61
18646,61
58114,61
11040,60
12512,60
19224,60
54641,60
54703,60
54783,60
54784,60
57274,60
58113,60
59207,60
15484,59
16333,59
16334,59
18645,59
53343,59
54642,59
57273,59
57549,59
58417,59
58418,59
59208,59
12507,58
14650,58
14673,58
14674,58
15483,58
15906,58
19223,58
2515,58
53344,58
54803,58
54804,58
55031,58
55050,58
56514,58
57225,58
57516,58
12515,57
13005,57
15905,57
19167,57
19168,57
56513,57
57515,57
57550,57
12137,56
12508,56
12516,56
13006,56
15959,56
15960,56
16335,56
16336,56
54462,56
54704,56
57306,56
58527,56
58528,56
15648,55
22647,55
22648,55
54461,55
55032,55
55049,55
55325,55
55326,55
57226,55
59705,55
59706,55
12138,54
15647,54
16629,54
16630,54
56323,54
56324,54
15708,53
16860,53
53049,53
55895,53
55896,53
57130,53
58501,53
58502,53
5865,53
5866,53
11027,52
11028,52
12919,52
13288,52
16649,52
16859,52
22645,52
51433,52
51434,52
57659,52
12920,51
13287,51
14266,51
15707,51
15929,51
15930,51
16338,51
22646,51
11463,50
11464,50
11466,50
15027,50
15028,50
15159,50
16337,50
16347,50
16650,50
53050,50
53061,50
53062,50
54475,50
54476,50
55007,50
55008,50
57425,50
59393,50
59394,50
11123,49
11124,49
11465,49
12322,49
13033,49
14265,49
16348,49
16526,49
50105,49
50106,49
55901,49
55902,49
56701,49
57329,49
57330,49
57426,49
59385,49
59547,49
74835,49
74836,49
7505,49
12321,48
12617,48
12618,48
14235,48
15209,48
15210,48
15211,48
15646,48
16127,48
16128,48
18005,48
18507,48
18508,48
51153,48
54751,48
54752,48
57136,48
57547,48
58213,48
58214,48
59386,48
59503,48
59504,48
73151,48
73152,48
11015,47
11272,47
15645,47
16093,47
16351,47
18463,47
51154,47
51286,47
54304,47
57135,47
57548,47
59822,47
7509,47
11016,46
11448,46
12721,46
12722,46
14311,46
14321,46
15160,46
15212,46
15623,46
15624,46
16094,46
16345,46
16346,46
16352,46
16507,46
16525,46
18006,46
18464,46
51285,46
53408,46
54333,46
54334,46
54472,46
56320,46
56700,46
11447,45
13034,45
13132,45
14236,45
14312,45
14322,45
15273,45
15274,45
16209,45
16508,45
18048,45
54471,45
54789,45
54790,45
55713,45
55714,45
57277,45
57563,45
58011,45
58012,45
59548,45
75719,45
77298,45
12659,44
12660,44
12809,44
13131,44
13248,44
15635,44
15636,44
16210,44
16311,44
16312,44
16359,44
16360,44
18047,44
22643,44
37911,44
37913,44
37917,44
37918,44
37922,44
37926,44
51671,44
51672,44
51827,44
51828,44
54076,44
54159,44
55539,44
56304,44
56913,44
56914,44
57124,44
58025,44
58026,44
59075,44
59076,44
59341,44
59342,44
75720,44
11071,43
12625,43
12843,43
12844,43
12976,43
14006,43
15651,43
15652,43
15653,43
15654,43
16331,43
16593,43
16594,43
16863,43
17229,43
17230,43
18622,43
19031,43
19032,43
19568,43
20813,43
20814,43
53357,43
54255,43
54757,43
54758,43
55540,43
56261,43
56365,43
56366,43
56705,43
56769,43
56770,43
57448,43
58206,43
58414,43
58533,43
58534,43
68007,43
12509,42
12626,42
12656,42
12810,42
12875,42
12925,42
12975,42
13021,42
13022,42
16332,42
16733,42
16734,42
16864,42
18111,42
18112,42
18621,42
19567,42
22644,42
30142,42
51409,42
53001,42
53029,42
53358,42
54256,42
54539,42
54782,42
55813,42
55814,42
56706,42
57133,42
57477,42
57478,42
58205,42
58413,42
59721,42
59722,42
59813,42
59821,42
69150,42
11061,41
11072,41
12510,41
12577,41
12615,41
12655,41
12807,41
12876,41
12926,41
13247,41
14005,41
14217,41
14307,41
14801,41
16605,41
16606,41
17015,41
17016,41
18401,41
18402,41
18421,41
18422,41
18447,41
18448,41
19259,41
19260,41
22501,41
34062,41
37912,41
37927,41
51410,41
53030,41
54303,41
54833,41
54834,41
55223,41
55224,41
55711,41
55712,41
56227,41
56228,41
56262,41
56603,41
57436,41
57553,41
57554,41
58301,41
58302,41
59814,41
68020,41
69149,41
74013,41
74014,41
11020,40
11021,40
12312,40
12578,40
12591,40
12592,40
12616,40
12808,40
14218,40
14308,40
14887,40
14888,40
15629,40
15630,40
15655,40
15656,40
15659,40
15660,40
16339,40
18405,40
18406,40
22851,40
22852,40
37928,40
51673,40
51674,40
53171,40
54043,40
54044,40
54075,40
54540,40
55021,40
55022,40
56650,40
56651,40
56654,40
56905,40
56906,40
