Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status
10103,CSMT,CST-MUMBAI,07:10:00,MAO,MADGOAN JN.,18:45:00,False,695.0,11.58,True,Valid (Same Day)
10104,MAO,MADGOAN JN.,09:15:00,CSMT,CST-MUMBAI,21:40:00,False,745.0,12.42,True,Valid (Same Day)
1011,CSMT,CST-MUMBAI,00:20:00,NGP,NAGPUR JN.(C,14:20:00,False,840.0,14.0,True,Valid (Same Day)
10111,CSMT,CST-MUMBAI,23:05:00,MAO,MADGOAN JN.,10:45:00,True,700.0,11.67,True,Valid (Midnight Rollover +1 Day)
10112,MAO,MADGOAN JN.,18:00:00,CSMT,CST-MUMBAI,05:50:00,True,710.0,11.83,True,Valid (Midnight Rollover +1 Day)
10215,MAO,MADGOAN JN.,21:30:00,ERS,ERNAKULAM. J,10:55:00,True,805.0,13.42,True,Valid (Midnight Rollover +1 Day)
10216,ERS,ERNAKULAM. J,13:50:00,MAO,MADGOAN JN.,03:15:00,True,805.0,13.42,True,Valid (Midnight Rollover +1 Day)
1037,LTT,LOKMANYA TIL,01:10:00,SWV,SAWANTWADI R,10:30:00,False,560.0,9.33,True,Valid (Same Day)
1038,SWV,SAWANTWADI R,14:05:00,LTT,LOKMANYA TIL,00:20:00,True,615.0,10.25,True,Valid (Midnight Rollover +1 Day)
1045,LTT,LOKMANYA TIL,01:10:00,KRMI,KARMALI,11:00:00,False,590.0,9.83,True,Valid (Same Day)
107,SWV,SAWANTWADI R,10:25:00,MAO,MADGOAN JN.,12:10:00,False,105.0,1.75,True,Valid (Same Day)
108,MAO,MADGOAN JN.,20:30:00,SWV,SAWANTWADI R,22:25:00,False,115.0,1.92,True,Valid (Same Day)
11001,SNSI,SAI NAGAR SH,05:00:00,PVR,PANDHARPUR,12:15:00,False,435.0,7.25,True,Valid (Same Day)
11002,PVR,PANDHARPUR,13:00:00,SNSI,SAI NAGAR SH,20:25:00,False,445.0,7.42,True,Valid (Same Day)
11003,DR,DADAR,00:05:00,SWV,SAWANTWADI R,10:40:00,False,635.0,10.58,True,Valid (Same Day)
11004,SWV,SAWANTWADI R,18:50:00,DR,DADAR,06:45:00,True,715.0,11.92,True,Valid (Midnight Rollover +1 Day)
11005,DR,DADAR,21:30:00,PDY,PONDICHERRY,07:15:00,True,585.0,9.75,True,Valid (Midnight Rollover +1 Day)
11006,PDY,PONDICHERRY,20:50:00,DR,DADAR,05:40:00,True,530.0,8.83,True,Valid (Midnight Rollover +1 Day)
11007,CSMT,CST-MUMBAI,07:00:00,PUNE,PUNE JN.,11:05:00,False,245.0,4.08,True,Valid (Same Day)
11008,PUNE,PUNE JN.,15:15:00,CSMT,CST-MUMBAI,19:17:00,False,242.0,4.03,True,Valid (Same Day)
11009,CSMT,CST-MUMBAI,14:30:00,PUNE,PUNE JN.,18:40:00,False,250.0,4.17,True,Valid (Same Day)
11010,PUNE,PUNE JN.,06:05:00,CSMT,CST-MUMBAI,09:55:00,False,230.0,3.83,True,Valid (Same Day)
11011,LTT,LOKMANYA TIL,12:05:00,NED,NANDED,04:45:00,True,1000.0,16.67,True,Valid (Midnight Rollover +1 Day)
11012,NED,NANDED,06:30:00,LTT,LOKMANYA TIL,23:45:00,False,1035.0,17.25,True,Valid (Same Day)
11013,LTT,LOKMANYA TIL,22:35:00,CBE,COIMBATORE,07:15:00,True,520.0,8.67,True,Valid (Midnight Rollover +1 Day)
11014,CBE,COIMBATORE,08:55:00,LTT,LOKMANYA TIL,14:30:00,False,335.0,5.58,True,Valid (Same Day)
11015,LTT,LOKMANYA TIL,22:45:00,GKP,GORAKHPUR JN,07:05:00,True,500.0,8.33,True,Valid (Midnight Rollover +1 Day)
11016,GKP,GORAKHPUR JN,19:00:00,LTT,LOKMANYA TIL,04:20:00,True,560.0,9.33,True,Valid (Midnight Rollover +1 Day)
11017,LTT,LOKMANYA TIL,12:05:00,KIK,KARAIKAL,18:35:00,False,390.0,6.5,True,Valid (Same Day)
11018,KIK,KARAIKAL,14:00:00,LTT,LOKMANYA TIL,23:45:00,False,585.0,9.75,True,Valid (Same Day)
11019,CSMT,CST-MUMBAI,15:10:00,BBS,BHUBANESWAR,04:15:00,True,785.0,13.08,True,Valid (Midnight Rollover +1 Day)
11020,BBS,BHUBANESWAR,15:25:00,CSMT,CST-MUMBAI,03:55:00,True,750.0,12.5,True,Valid (Midnight Rollover +1 Day)
11021,DR,DADAR,21:30:00,TEN,TIRUNELVELI,11:45:00,True,855.0,14.25,True,Valid (Midnight Rollover +1 Day)
11022,TEN,TIRUNELVELI,15:00:00,DR,DADAR,05:40:00,True,880.0,14.67,True,Valid (Midnight Rollover +1 Day)
11023,CSMT,CST-MUMBAI,17:50:00,KOP,CHHATRAPATI,06:05:00,True,735.0,12.25,True,Valid (Midnight Rollover +1 Day)
11024,KOP,CHHATRAPATI,22:50:00,CSMT,CST-MUMBAI,11:50:00,True,780.0,13.0,True,Valid (Midnight Rollover +1 Day)
11025,BSL,BHUSAVAL JN.,00:25:00,PUNE,PUNE JN.,12:05:00,False,700.0,11.67,True,Valid (Same Day)
11026,PUNE,PUNE JN.,11:45:00,BSL,BHUSAVAL JN.,21:50:00,False,605.0,10.08,True,Valid (Same Day)
11027,CSMT,CST-MUMBAI,23:45:00,MAS,CHENNAI CENT,03:30:00,True,225.0,3.75,True,Valid (Midnight Rollover +1 Day)
11028,MAS,CHENNAI CENT,23:55:00,CSMT,CST-MUMBAI,03:45:00,True,230.0,3.83,True,Valid (Midnight Rollover +1 Day)
11029,CSMT,CST-MUMBAI,08:40:00,KOP,CHHATRAPATI,20:25:00,False,705.0,11.75,True,Valid (Same Day)
11030,KOP,CHHATRAPATI,07:55:00,CSMT,CST-MUMBAI,20:05:00,False,730.0,12.17,True,Valid (Same Day)
11031,SUR,SOLAPUR,10:10:00,BJP,BIJAPUR JN,12:20:00,False,130.0,2.17,True,Valid (Same Day)
11032,BJP,BIJAPUR JN,14:50:00,SUR,SOLAPUR,17:40:00,False,170.0,2.83,True,Valid (Same Day)
11033,PUNE,PUNE JN.,16:15:00,DBG,DARBHANGA JN,06:45:00,True,870.0,14.5,True,Valid (Midnight Rollover +1 Day)
11034,DBG,DARBHANGA JN,16:45:00,PUNE,PUNE JN.,08:05:00,True,920.0,15.33,True,Valid (Midnight Rollover +1 Day)
11035,DR,DADAR,21:30:00,MYS,MYSORE JN.,21:40:00,False,10.0,0.17,True,Valid (Same Day)
11036,MYS,MYSORE JN.,06:15:00,DR,DADAR,05:40:00,True,1405.0,23.42,True,Valid (Midnight Rollover +1 Day)
11037,PUNE,PUNE JN.,16:15:00,GKP,GORAKHPUR JN,01:05:00,True,530.0,8.83,True,Valid (Midnight Rollover +1 Day)
11038,GKP,GORAKHPUR JN,15:30:00,PUNE,PUNE JN.,04:05:00,True,755.0,12.58,True,Valid (Midnight Rollover +1 Day)
11039,KOP,CHHATRAPATI,15:30:00,G,GONDIA JN.,20:15:00,False,285.0,4.75,True,Valid (Same Day)
11040,G,GONDIA JN.,08:20:00,KOP,CHHATRAPATI,12:45:00,False,265.0,4.42,True,Valid (Same Day)
11041,CSMT,CST-MUMBAI,14:00:00,MAS,CHENNAI CENT,16:30:00,False,150.0,2.5,True,Valid (Same Day)
11042,MAS,CHENNAI CENT,12:20:00,CSMT,CST-MUMBAI,13:35:00,False,75.0,1.25,True,Valid (Same Day)
11043,LTT,LOKMANYA TIL,00:15:00,MDU,MADURAI JN,10:10:00,False,595.0,9.92,True,Valid (Same Day)
11044,MDU,MADURAI JN,18:00:00,LTT,LOKMANYA TIL,05:45:00,True,705.0,11.75,True,Valid (Midnight Rollover +1 Day)
11045,KOP,CHHATRAPATI,23:45:00,DHN,DHANBAD JN.,12:00:00,True,735.0,12.25,True,Valid (Midnight Rollover +1 Day)
11046,DHN,DHANBAD JN.,13:50:00,KOP,CHHATRAPATI,03:35:00,True,825.0,13.75,True,Valid (Midnight Rollover +1 Day)
11047,MRJ,MIRAJ JN.,00:10:00,UBL,HUBLI JN.,06:25:00,False,375.0,6.25,True,Valid (Same Day)
11048,UBL,HUBLI JN.,23:30:00,MRJ,MIRAJ JN.,05:15:00,True,345.0,5.75,True,Valid (Midnight Rollover +1 Day)
11049,ADI,AHMEDABAD,19:25:00,KOP,CHHATRAPATI,15:25:00,True,1200.0,20.0,True,Valid (Midnight Rollover +1 Day)
11050,KOP,CHHATRAPATI,12:50:00,ADI,AHMEDABAD,07:45:00,True,1135.0,18.92,True,Valid (Midnight Rollover +1 Day)
11051,SUR,SOLAPUR,23:35:00,KOP,CHHATRAPATI,06:20:00,True,405.0,6.75,True,Valid (Midnight Rollover +1 Day)
11052,KOP,CHHATRAPATI,23:55:00,SUR,SOLAPUR,07:30:00,True,455.0,7.58,True,Valid (Midnight Rollover +1 Day)
11053,LTT,LOKMANYA TIL,16:40:00,AMH,AZAMGARH,02:10:00,True,570.0,9.5,True,Valid (Midnight Rollover +1 Day)
11054,AMH,AZAMGARH,05:20:00,LTT,LOKMANYA TIL,12:15:00,False,415.0,6.92,True,Valid (Same Day)
11055,LTT,LOKMANYA TIL,10:55:00,GKP,GORAKHPUR JN,20:20:00,False,565.0,9.42,True,Valid (Same Day)
11056,GKP,GORAKHPUR JN,06:20:00,LTT,LOKMANYA TIL,16:15:00,False,595.0,9.92,True,Valid (Same Day)
11057,CSMT,CST-MUMBAI,23:30:00,ASR,AMRITSAR JN.,16:30:00,True,1020.0,17.0,True,Valid (Midnight Rollover +1 Day)
11058,ASR,AMRITSAR JN.,08:30:00,CSMT,CST-MUMBAI,04:05:00,True,1175.0,19.58,True,Valid (Midnight Rollover +1 Day)
11059,LTT,LOKMANYA TIL,10:55:00,CPR,CHHAPRA JN.,21:05:00,False,610.0,10.17,True,Valid (Same Day)
11060,CPR,CHHAPRA JN.,05:15:00,LTT,LOKMANYA TIL,16:15:00,False,660.0,11.0,True,Valid (Same Day)
11061,LTT,LOKMANYA TIL,12:15:00,DBG,DARBHANGA JN,01:10:00,True,775.0,12.92,True,Valid (Midnight Rollover +1 Day)
11062,DBG,DARBHANGA JN,13:05:00,LTT,LOKMANYA TIL,03:40:00,True,875.0,14.58,True,Valid (Midnight Rollover +1 Day)
11063,MS,CHENNAI EGMO,23:00:00,SA,SALEM JN.,05:20:00,True,380.0,6.33,True,Valid (Midnight Rollover +1 Day)
11064,SA,SALEM JN.,21:20:00,MS,CHENNAI EGMO,03:45:00,True,385.0,6.42,True,Valid (Midnight Rollover +1 Day)
11067,LTT,LOKMANYA TIL,05:23:00,FD,FAIZABAD JN.,08:55:00,False,212.0,3.53,True,Valid (Same Day)
11068,FD,FAIZABAD JN.,15:35:00,LTT,LOKMANYA TIL,21:30:00,False,355.0,5.92,True,Valid (Same Day)
11071,LTT,LOKMANYA TIL,12:40:00,BSB,VARANASI JN.,19:25:00,False,405.0,6.75,True,Valid (Same Day)
11072,BSB,VARANASI JN.,15:50:00,LTT,LOKMANYA TIL,22:50:00,False,420.0,7.0,True,Valid (Same Day)
