Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
10103,CSMT,CST-MUMBAI,07:10:00,MAO,MADGOAN JN.,18:45:00,False,695.0,11.58,True,Valid (Same Day),590.0,Long,Duration
10104,MAO,MADGOAN JN.,09:15:00,CSMT,CST-MUMBAI,21:40:00,False,745.0,12.42,True,Valid (Same Day),594.0,Long,Duration
1011,CSMT,CST-MUMBAI,00:20:00,NGP,NAGPUR JN.(C,14:20:00,False,840.0,14.0,True,Valid (Same Day),841.0,Long,Duration
10111,CSMT,CST-MUMBAI,23:05:00,MAO,MADGOAN JN.,10:45:00,True,700.0,11.67,True,Valid (Midnight Rollover +1 Day),590.0,Long,Duration
10112,MAO,MADGOAN JN.,18:00:00,CSMT,CST-MUMBAI,05:50:00,True,710.0,11.83,True,Valid (Midnight Rollover +1 Day),594.0,Long,Duration
10215,MAO,MADGOAN JN.,21:30:00,ERS,ERNAKULAM. J,10:55:00,True,805.0,13.42,True,Valid (Midnight Rollover +1 Day),726.0,Long,Duration
10216,ERS,ERNAKULAM. J,13:50:00,MAO,MADGOAN JN.,03:15:00,True,805.0,13.42,True,Valid (Midnight Rollover +1 Day),727.0,Long,Duration
1037,LTT,LOKMANYA TIL,01:10:00,SWV,SAWANTWADI R,10:30:00,False,560.0,9.33,True,Valid (Same Day),513.0,Long,Duration
1038,SWV,SAWANTWADI R,14:05:00,LTT,LOKMANYA TIL,00:20:00,True,615.0,10.25,True,Valid (Midnight Rollover +1 Day),503.0,Long,Duration
1045,LTT,LOKMANYA TIL,01:10:00,KRMI,KARMALI,11:00:00,False,590.0,9.83,True,Valid (Same Day),563.0,Long,Duration
107,SWV,SAWANTWADI R,10:25:00,MAO,MADGOAN JN.,12:10:00,False,105.0,1.75,True,Valid (Same Day),78.0,Medium,Duration
108,MAO,MADGOAN JN.,20:30:00,SWV,SAWANTWADI R,22:25:00,False,115.0,1.92,True,Valid (Same Day),83.0,Medium,Duration
11001,SNSI,SAI NAGAR SH,05:00:00,PVR,PANDHARPUR,12:15:00,False,435.0,7.25,True,Valid (Same Day),348.0,Long,Duration
11002,PVR,PANDHARPUR,13:00:00,SNSI,SAI NAGAR SH,20:25:00,False,445.0,7.42,True,Valid (Same Day),348.0,Long,Duration
