High_Traffic_Rank,Global_Network_Rank,Station_Code,Station_Name,Train_Count,Stop_Count,Network_Share_Pct,Traffic_Tier,Cutoff_Criterion
1,1,CSMT,CST-MUMBAI,1027,1027,9.24,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
2,2,KYN,KALYAN JN,828,828,7.45,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
3,3,TNA,THANE,796,796,7.16,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
4,4,SDAH,SEALDAH,745,745,6.7,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
5,5,MSB,CHENNAI BEAC,738,738,6.64,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
6,6,HWH,HOWRAH JN.,699,699,6.29,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
7,7,DR,DADAR,567,567,5.1,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
8,8,DDJ,DUM DUM JN.,463,463,4.17,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
9,9,CLA,KURLA,462,462,4.16,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
10,10,TBM,TAMBARAM,434,434,3.91,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
11,11,BZA,VIJAYWADA JN,416,416,3.74,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
12,12,GC,GHAT KOPAR,406,406,3.65,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
13,13,BNXR,BIDHANNAGAR,404,404,3.64,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
14,14,PNVL,PANVEL,400,400,3.6,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
15,15,MLND,MULUND,393,393,3.54,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
16,16,MTN,MUMBAI (MATU,393,393,3.54,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
17,17,BY,MUMBAI (BYCU,392,392,3.53,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
18,18,CNB,KANPUR CENTR,382,383,3.44,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
19,19,BRC,VADODARA JN.,376,376,3.38,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
20,20,BND,BHANDUP,373,373,3.36,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
21,21,VK,VIKHROLI,370,370,3.33,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
22,22,NDLS,NEW DELHI,356,356,3.2,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
23,23,VVH,VIDYAVIHAR,356,356,3.2,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
24,24,NHU,NAHUR,355,355,3.19,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
25,25,PR,MUMBAI(PAREL,346,346,3.11,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
26,26,CHG,MUMBAI (CHIN,344,344,3.1,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
27,27,CRD,MUMBAI CURRE,344,344,3.1,Tier 1: Mega Hub (Top 1%),Top Decile (>= 48 trains)
