Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
CSMT,CST-MUMBAI,804,138,85,1027,78.3,13.4,8.3
KYN,KALYAN JN,483,130,215,828,58.3,15.7,26.0
TNA,THANE,521,139,136,796,65.5,17.5,17.1
SDAH,SEALDAH,339,348,58,745,45.5,46.7,7.8
MSB,CHENNAI BEAC,484,254,0,738,65.6,34.4,0.0
HWH,HOWRAH JN.,157,327,215,699,22.5,46.8,30.8
DR,DADAR,341,130,96,567,60.1,22.9,16.9
DDJ,DUM DUM JN.,175,272,16,463,37.8,58.7,3.5
CLA,KURLA,344,118,0,462,74.5,25.5,0.0
TBM,TAMBARAM,274,93,67,434,63.1,21.4,15.4
BZA,VIJAYWADA JN,31,69,316,416,7.5,16.6,76.0
GC,GHAT KOPAR,288,118,0,406,70.9,29.1,0.0
BNXR,BIDHANNAGAR,168,226,10,404,41.6,55.9,2.5
PNVL,PANVEL,283,23,94,400,70.8,5.8,23.5
MTN,MUMBAI (MATU,276,117,0,393,70.2,29.8,0.0
MLND,MULUND,275,118,0,393,70.0,30.0,0.0
BY,MUMBAI (BYCU,274,118,0,392,69.9,30.1,0.0
CNB,KANPUR CENTR,23,64,295,382,6.0,16.8,77.2
BRC,VADODARA JN.,17,52,307,376,4.5,13.8,81.6
BND,BHANDUP,255,118,0,373,68.4,31.6,0.0
VK,VIKHROLI,252,118,0,370,68.1,31.9,0.0
NDLS,NEW DELHI,41,81,234,356,11.5,22.8,65.7
VVH,VIDYAVIHAR,239,117,0,356,67.1,32.9,0.0
NHU,NAHUR,237,118,0,355,66.8,33.2,0.0
PR,MUMBAI(PAREL,229,117,0,346,66.2,33.8,0.0
CRD,MUMBAI CURRE,227,117,0,344,66.0,34.0,0.0
CHG,MUMBAI (CHIN,227,117,0,344,66.0,34.0,0.0
MSD,MUMBAI (MASJ,227,117,0,344,66.0,34.0,0.0
SNRD,MUMBAI SANDH,227,117,0,344,66.0,34.0,0.0
PER,PERAMBUR,151,151,40,342,44.2,44.2,11.7
BDC,BANDEL JN.,133,101,91,325,40.9,31.1,28.0
BWN,BARDDHAMAN J,21,148,150,319,6.6,46.4,47.0
ST,SURAT,15,29,272,316,4.7,9.2,86.1
KGP,KHARAGPUR,21,99,189,309,6.8,32.0,61.2
MS,CHENNAI EGMO,181,42,86,309,58.6,13.6,27.8
NH,NAIHATI JN.,85,164,58,307,27.7,53.4,18.9
LLH,LILUAH,141,164,1,306,46.1,53.6,0.3
ADI,AHMEDABAD,14,44,247,305,4.6,14.4,81.0
BLN,BALLYGUNGE J,176,124,0,300,58.7,41.3,0.0
BSL,BHUSAVAL JN.,12,33,253,298,4.0,11.1,84.9
BEQ,BELUR,134,161,0,295,45.4,54.6,0.0
LKO,LUCKNOW JN.,18,50,227,295,6.1,16.9,76.9
VLK,VILLIVAKKAM,149,144,0,293,50.9,49.1,0.0
MGS,MUGHAL SARAI,18,35,238,291,6.2,12.0,81.8
ET,ITARSI,16,33,242,291,5.5,11.3,83.2
AVD,AVADI,154,135,2,291,52.9,46.4,0.7
SC,SECUNDERABAD,63,59,166,288,21.9,20.5,57.6
ABU,AMBATTUR,147,134,0,281,52.3,47.7,0.0
PUNE,PUNE JN.,27,64,187,278,9.7,23.0,67.3
UMB,AMBALA CANTT,16,41,218,275,5.8,14.9,79.3
VPY,VEYSARPADI,146,128,0,274,53.3,46.7,0.0
BBQ,BASIN BRIDGE,128,138,2,268,47.8,51.5,0.7
DI,DOMBIVLI,148,119,0,267,55.4,44.6,0.0
MMCC,MOOR MARKET,128,139,0,267,47.9,52.1,0.0
SRP,SHRIRAMPUR,126,126,14,266,47.4,47.4,5.3
SHE,SEORAPHULI J,121,127,17,265,45.7,47.9,6.4
DIVA,DIVA JN,138,123,4,265,52.1,46.4,1.5
BP,BARRACKPORE,76,166,22,264,28.8,62.9,8.3
ASN,ASANSOL MAIN,13,60,190,263,4.9,22.8,72.2
GZB,GHAZIABAD JN,43,54,165,262,16.4,20.6,63.0
CGL,CHENGALPATTU,3,172,79,254,1.2,67.7,31.1
NGP,NAGPUR JN.(C,13,30,209,252,5.2,11.9,82.9
KLVA,KALVA,129,119,0,248,52.0,48.0,0.0
MBQ,MUMBRA,129,119,0,248,52.0,48.0,0.0
BBS,BHUBANESWAR,11,35,202,248,4.4,14.1,81.5
KOPR,KOPAR,129,119,0,248,52.0,48.0,0.0
PNBE,PATNA JN.,7,63,176,246,2.8,25.6,71.5
JHS,JHANSI JN,16,33,197,246,6.5,13.4,80.1
NZM,HAZRAT NIZAM,25,60,160,245,10.2,24.5,65.3
KPD,KATPADI JN,15,32,198,245,6.1,13.1,80.8
ANND,ANAND JN.,20,55,168,243,8.2,22.6,69.1
DLI,DELHI JN.,18,84,138,240,7.5,35.0,57.5
BPL,BHOPAL,14,28,197,239,5.9,11.7,82.4
UPA,UTTARPARA,126,112,0,238,52.9,47.1,0.0
BLY,BALLY,126,110,2,238,52.9,46.2,0.8
MB,MORADABAD JN,6,46,186,238,2.5,19.3,78.2
KUR,KHURDA ROAD,11,39,186,236,4.7,16.5,78.8
LDH,LUDHIANA JN.,8,39,189,236,3.4,16.5,80.1
KOG,KONNAGAR,126,109,0,235,53.6,46.4,0.0
SPR,SONARPUR JN.,126,109,0,235,53.6,46.4,0.0
VSKP,VISAKHAPATNA,8,37,188,233,3.4,15.9,80.7
RIS,RISHRA,126,107,0,233,54.1,45.9,0.0
VLCY,VELACHEERY,176,57,0,233,75.5,24.5,0.0
HMZ,HINDMOTOR,126,105,0,231,54.5,45.5,0.0
BSB,VARANASI JN.,13,29,188,230,5.7,12.6,81.7
SRC,SANTRAGACHI,19,129,82,230,8.3,56.1,35.7
MTMY,THIRUMAYILAI,173,57,0,230,75.2,24.8,0.0
AJJ,ARAKKONAM JN,17,117,93,227,7.5,51.5,41.0
ABH,AMBERNATH,217,4,4,225,96.4,1.8,1.8
RJY,RAJAHMUNDRY,5,45,170,220,2.3,20.5,77.3
SEP,SODPUR,74,143,2,219,33.8,65.3,0.9
GKP,GORAKHPUR JN,10,39,170,219,4.6,17.8,77.6
BLH,BELGHARIA,74,143,2,219,33.8,65.3,0.9
BGJT,.BAGHAJATIN,113,104,0,217,52.1,47.9,0.0
