Prefix_Digit,Service_Category,Short,Medium,Long,Total_Trains,Pct_Short,Pct_Medium,Pct_Long,Col_Pct_Short,Col_Pct_Medium,Col_Pct_Long
0,0xxxx (Holiday / Special Express),38,57,177,272,13.97,20.96,65.07,0.98,1.62,4.74
1,1xxxx (Long-Distance Mail / Express),80,235,1998,2313,3.46,10.16,86.38,2.07,6.68,53.49
2,2xxxx (Superfast / Premium Express),31,84,356,471,6.58,17.83,75.58,0.8,2.39,9.53
3,3xxxx (Kolkata Suburban EMU),720,716,0,1436,50.14,49.86,0.0,18.65,20.35,0.0
4,4xxxx (Chennai / Delhi Suburban EMU),710,401,0,1111,63.91,36.09,0.0,18.39,11.4,0.0
5,5xxxx (Conventional Passenger),289,894,954,2137,13.52,41.83,44.64,7.49,25.41,25.54
6,6xxxx (MEMU Mainline EMU),171,485,119,775,22.06,62.58,15.35,4.43,13.79,3.19
7,7xxxx (DEMU Diesel EMU),243,473,121,837,29.03,56.51,14.46,6.3,13.45,3.24
8,8xxxx (Suvidha / Premium Special),0,1,10,11,0.0,9.09,90.91,0.0,0.03,0.27
9,9xxxx (Mumbai Suburban EMU),1578,172,0,1750,90.17,9.83,0.0,40.88,4.89,0.0
All,Total (All Services),3860,3518,3735,11113,34.73,31.66,33.61,100.0,100.0,100.0
